Player,GP,PTS,+/-,PIM,S,TOI,BLK,HIT
Dmitrij Jaskin\jaskidm01,37,8,-5,6,48,373,14,87
Boone Jenner\jennebo01,77,38,6,42,170,1314,70,158
Nick Jensen\jenseni02,80,20,4,21,94,1588,105,82
Jakub Jerabek\jerabja01,1,0,-3,2,1,8,1,0
Ryan Johansen\johanry01,80,64,7,42,136,1564,23,95
Marcus Johansson\johanma03,58,30,-16,8,115,924,24,28
Adam Johnson\johnsad01,6,2,2,0,3,32,3,11
Erik Johnson\johnser01,80,25,8,38,144,1745,143,124
Jack Johnson\johnsja02,82,13,-4,41,86,1581,147,233
Luke Johnson\johnslu01,15,1,-8,8,19,162,9,31
Tyler Johnson\johnsty01,80,47,15,28,163,1276,32,50
Andreas Johnsson\johnsan01,73,43,14,32,130,998,36,60
Ross Johnston\johnsro02,17,4,3,23,12,135,1,43
Henri Jokiharju\jokihhe01,38,12,-7,16,62,721,37,48
Caleb Jones\jonesca01,17,6,-9,6,21,337,18,20
Max Jones\jonesma03,30,5,-1,14,58,395,5,30
Seth Jones\jonesse01,75,46,1,28,184,1937,133,106
Mathieu Joseph\josepma01,70,26,5,26,95,795,14,129
Roman Josi\josiro01,82,56,9,42,274,2064,144,53
Tyson Jost\jostty01,70,26,-2,14,114,910,35,48
Noah Juulsen\juulsno01,21,5,5,6,22,359,39,60
Nazem Kadri\kadrina01,73,44,-2,43,184,1182,13,85
Dominik Kahun\kahundo01,82,37,10,6,137,1160,27,13
Vladislav Kamenev\kamenvl01,23,5,-2,10,22,208,4,20
David Kampf\kampfda01,63,19,-6,14,72,877,30,39
Steven Kampfer\kampfst01,35,6,-6,22,40,512,32,44
Evander Kane\kaneev01,75,56,-4,153,268,1381,25,173
Patrick Kane\kanepa01,81,110,2,22,341,1822,18,21
Kasperi Kapanen\kapanka01,78,44,12,27,174,1296,19,92
Erik Karlsson\karlser01,53,45,6,22,169,1298,69,44
Melker Karlsson\karlsme01,79,16,-1,26,79,908,39,67
William Karlsson\karlswi01,82,56,1,16,169,1545,55,51
Ondrej Kase\kaseon01,30,20,0,2,94,470,11,17
Zack Kassian\kassiza01,79,26,-6,102,111,1169,15,191
Brady Keeper\keepebr01,1,0,1,0,1,13,1,2
Duncan Keith\keithdu01,82,40,13,70,141,1887,144,42
Clayton Keller\kellecl01,82,47,-21,24,200,1495,21,16
Adrian Kempe\kempead01,81,28,-10,50,118,1175,21,86
Mario Kempe\kempema01,52,9,5,18,57,582,30,105
Michal Kempny\kempnmi01,71,25,24,60,111,1362,135,84
Alexander Kerfoot\kerfoal01,78,42,-9,38,116,1161,29,22
Ryan Kesler\keslery01,60,8,-19,44,86,990,56,93
